Video ID,Title,Channel,Upload Date,Views,Likes,Comments,Duration (min),Has Subtitles?,Subtitle Languages,Highest Quality,URL
IR_S8BC8KI0,Big O notation - Data Structures & Algorithms Tutorial #2 | Measuring time complexity,codebasics,20200303,874784,16107,480,12.52,No,,1920x1080,https://www.youtube.com/watch?v=IR_S8BC8KI0
q8NOmLD5pTU,Deploy machine learning model to production AWS (Amazon EC2 instance),codebasics,20200224,138609,1557,356,28.63,No,,1920x1080,https://www.youtube.com/watch?v=q8NOmLD5pTU
P8BuKf9crA8,How to switch career to data science from non computer science background,codebasics,20200216,155424,5973,463,20.15,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=P8BuKf9crA8
oF_2uDb7DvQ,What is ETL | What is Data Warehouse | OLTP vs OLAP,codebasics,20200215,480559,12489,430,8.1,No,,1920x1080,https://www.youtube.com/watch?v=oF_2uDb7DvQ
q9oAZwhuUy4,Data Analyst vs Data Engineer vs Data Scientist,codebasics,20200201,181674,5255,281,10.85,No,,1920x1080,https://www.youtube.com/watch?v=q9oAZwhuUy4
cbqZa_1vzcg,Machine Learning & Data Science Project - 4 : Outlier Removal (Real Estate Price Prediction Project),codebasics,20200101,203775,2084,208,19.5,No,,1920x1080,https://www.youtube.com/watch?v=cbqZa_1vzcg
dM_MzB2sCQk,Data Scientist Salary: How much a data scientist earn,codebasics,20200104,21340,379,50,14.4,No,,1920x1080,https://www.youtube.com/watch?v=dM_MzB2sCQk
rD2xumR98w8,Machine Learning & Data Science Project - 7 : Website or UI (Real Estate Price Prediction Project),codebasics,20200101,142348,1709,255,13.35,No,,1920x1080,https://www.youtube.com/watch?v=rD2xumR98w8
JL_grPUnXzY,What is Data Science? | Free Data Science Course | Data Science for Beginners | codebasics,codebasics,20191210,660819,8739,411,6.77,No,,1920x1080,https://www.youtube.com/watch?v=JL_grPUnXzY
oCiRv94GMEc,Machine Learning & Data Science Project - 5 : Model Building (Real Estate Price Prediction Project),codebasics,20200101,201038,2124,271,19.18,No,,1920x1080,https://www.youtube.com/watch?v=oCiRv94GMEc
Q5JyawS8f5Q,Machine Learning & Data Science Project - 6 : Python Flask Server (Real Estate Price Prediction),codebasics,20200101,204415,1453,440,21.22,No,,1920x1080,https://www.youtube.com/watch?v=Q5JyawS8f5Q
gMoJIH0prL4,Machine Learning & Data Science Project - 3 : Feature Engineering (Real Estate Price Prediction),codebasics,20200101,200038,1977,102,8.43,No,,1920x1080,https://www.youtube.com/watch?v=gMoJIH0prL4
